Open,High,Low,Close,Adj Close,Volume,SMA_50,SMA_200,Price_Change,Volatility
118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,117.96321105957031,112559200,116.92299942016602,88.5934997177124,-0.00396075045188371,4.36438881666694
121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,116.3116683959961,115393800,117.02534942626953,88.81316219329834,-0.014000517390639566,4.288541452997248
119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,113.34086608886719,120639300,117.12269943237305,89.02127471923828,-0.025541870037600223,4.135642977018589
116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,114.8360366821289,124423700,117.21834945678711,89.23407474517822,0.013191918736096486,4.1532094725665285
116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,114.21061706542969,89946000,117.36824951171874,89.44543724060058,-0.005446339698866431,4.144571778592594
117.44999694824219,118.04000091552734,114.58999633789062,115.75,113.1160888671875,101988000,117.42304946899414,89.64519973754882,-0.009583320957137431,4.140890971105513
116.38999938964844,116.55000305175781,114.27999877929688,115.04000091552734,112.42224884033203,82572600,117.42364944458008,89.83336223602295,-0.006133901377733508,4.105705212507842
114.01000213623047,116.55000305175781,112.87999725341797,115.05000305175781,112.43202209472656,111850700,117.42649948120118,90.02069976806641,8.694485527538376e-05,4.105039936776352
115.48999786376953,117.27999877929688,114.54000091552734,116.5999984741211,113.94674682617188,92276800,117.46634948730468,90.20749977111817,0.01347236315731326,4.114893837374752
115.05000305175781,115.43000030517578,111.0999984741211,111.19999694824219,108.66961669921875,143937800,117.37909942626953,90.37264976501464,-0.046312192080151804,4.1405257239576
112.37000274658203,116.93000030517578,112.19999694824219,115.31999969482422,112.69588470458984,146129200,117.37134948730468,90.5600747680664,0.03705038542851469,4.048183969428496
111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156,106.38285827636719,190272600,117.18304946899414,90.71032478332519,-0.05601802897648289,3.9205940535465085
109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,106.29492950439453,122866900,116.87104934692383,90.85576225280762,-0.0008267863933540953,3.9861262536096076
109.66000366210938,111.48999786376953,108.7300033569336,110.44000244140625,107.92692565917969,107624400,116.56269943237305,91.01224975585937,0.01535355198934174,4.033142029076408
114.13999938964844,115.58999633789062,112.3499984741211,114.94999694824219,112.33428192138672,138235500,116.36519943237305,91.1898747253418,0.04083660274481349,3.742275531801612
117.94999694824219,119.62000274658203,116.87000274658203,119.02999877929688,116.32142639160156,126387100,116.21534942626953,91.38598720550537,0.03549370978140831,3.5470492429010445
118.31999969482422,119.19999694824219,116.12999725341797,118.69000244140625,116.18931579589844,114457900,116.08894943237304,91.58154972076416,-0.002856392013588449,3.526059702034535
120.5,121.98999786376953,116.05000305175781,116.31999969482422,113.86923217773438,154515300,115.9191993713379,91.7769622039795,-0.019968006553475526,3.521929842981912
115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,113.526611328125,138023400,115.6577995300293,91.95969970703125,-0.003008927742772949,3.503949479528572
117.19000244140625,119.62999725341797,116.44000244140625,119.48999786376953,116.97245025634766,112295000,115.36399963378906,92.15172470092773,0.03035264815051164,3.559747467628947
119.62000274658203,120.52999877929688,118.56999969482422,119.20999908447266,116.69833374023438,103162300,115.12019973754883,92.34293720245361,-0.0023432821516667923,3.6017270982554197
119.44000244140625,119.66999816894531,117.87000274658203,119.26000213623047,116.74730682373047,81581900,115.08779983520508,92.55234970092773,0.00041945350341277,3.5895790321659935
118.91999816894531,120.98999786376953,118.1500015258789,120.30000305175781,117.76538848876953,91183000,115.07459991455079,92.76802471160889,0.008720450250699674,3.6579094169074247
119.55000305175781,120.66999816894531,118.95999908447266,119.38999938964844,116.87454986572266,74271000,115.20599990844727,92.96641220092773,-0.0075644525272193786,3.634193953929184
118.61000061035156,119.81999969482422,118.0,118.02999877929688,115.54322052001953,76322100,115.22019989013671,93.15474967956543,-0.011391243967704412,3.626474287362041
117.58999633789062,119.05999755859375,116.80999755859375,118.63999938964844,116.14036560058594,74113000,115.3231999206543,93.34143718719483,0.005168182806577715,3.621731066042945
118.63999938964844,118.7699966430664,117.29000091552734,117.33999633789062,114.86774444580078,73604300,115.4299998474121,93.52809967041016,-0.010957544322705348,3.622248281581422
117.18000030517578,117.62000274658203,113.75,113.8499984741211,111.4512710571289,127959300,115.3997998046875,93.69541217803955,-0.02974261098253128,3.384827357564091
113.91000366210938,115.8499984741211,112.58999633789062,115.16999816894531,112.74346160888672,113874200,115.39239974975585,93.87174968719482,0.011594200373434838,3.288541297574631
115.55000305175781,116.75,115.16999816894531,116.02999877929688,113.58533477783203,76499200,115.47039978027344,94.04289966583252,0.007467227785225905,3.165529142404248
116.56999969482422,117.48999786376953,116.22000122070312,116.58999633789062,114.133544921875,46691300,115.59539978027344,94.21976215362548,0.0048263170256421795,3.0547260036934567
116.97000122070312,120.97000122070312,116.80999755859375,119.05000305175781,116.54170989990234,169410200,115.83959991455077,94.40882465362549,0.021099637971836005,3.0557009731052536
121.01000213623047,123.47000122070312,120.01000213623047,122.72000122070312,120.13440704345703,127728200,116.09239990234374,94.623674659729,0.030827367281542672,3.281682937757344
122.0199966430664,123.37000274658203,120.88999938964844,123.08000183105469,120.48681640625,89004200,116.31779998779297,94.8345496749878,0.0029335121151452537,3.498166757806529
123.5199966430664,123.77999877929688,122.20999908447266,122.94000244140625,120.34976196289062,78967600,116.63419998168945,95.04887470245362,-0.0011374665873064016,3.68675699826795
